ID,Name,Address,City,State,Zip,Latitude,Longitude,ShapeName,ShapeType,ShapeDistance,Households,Total_Population,Mosaic_A,Mosaic_A01,Mosaic_A02,Mosaic_A03,Mosaic_A04,Mosaic_A05,Mosaic_A06,Mosaic_A_Pct,Mosaic_A01_Pct,Mosaic_A02_Pct,Mosaic_A03_Pct,Mosaic_A04_Pct,Mosaic_A05_Pct,Mosaic_A06_Pct,Median_HH_Income,Kids_250k,Kids_500k,HH_GT_250k,HH_GT_500k,HH_GT_250k_Pct,HH_GT_500k_Pct
725,100725,,,,,42.390000,-71.010000,20 minute Drive Time,P,20,67963.861214091681,170481.74320685121,3227.3533040493262,101.24143186413006,4.8401639344262284,4.3643708486536461,43.7602955596022,238.67039247241723,2834.4766493700904,0.047486314732515,0.00148963625749884,7.12167297143304E-05,6.42160520413271E-05,0.000643875947862257,0.00351172502869703,0.0417056447167011,82028.3315347552,1341.8143747020556,403.67446065671032,4965.732737517661,1493.9022284866419,0.07306431166227001,0.0219808321922842
726,100726,,,,,42.390000,-70.995000,20 minute Drive Time,P,20,50675.719944113007,133952.37507904644,373.71174889840688,0,0,2.9999999999999991,40.410695187165764,194.34478370172934,135.95627000951214,0.00737457206943581,0,0,5.91999482850664E-05,0.000797437021747932,0.00383506704820493,0.00268286805119788,77297.0622203534,740.42680654875687,249.10813131747909,2424.6410544291743,815.74275383116139,0.0478462083440187,0.0160973096135741
727,100727,,,,,42.390000,-70.980000,20 minute Drive Time,P,20,32875.708445638607,81971.438286487639,255.40101297557715,0,0,2.9999999999999991,44.465508021390363,192.94166000918929,14.993844944997381,0.00776868469307342,0,0,9.1252786383619E-05,0.00135253383497168,0.00586882136177313,0.000456076709944984,84795.9130927198,473.58312314155455,165.04750860341883,1800.7374363111321,627.57140824721569,0.0547741028695619,0.0190892132190834
728,100728,,,,,42.390000,-70.965000,20 minute Drive Time,P,20,23885.669270861352,58746.858704472135,246.77822556942093,0,0,2.9999999999999991,43.977272727272727,186.78288055299143,13.018072289156624,0.0103316437471765,0,0,0.000125598322826138,0.0018411572323377,0.00781987217669684,0.00054501601531583,89843.9372565226,386.38831718276089,135.70222741566246,1533.0690497089895,538.42436630691452,0.0641836338067032,0.0225417324589581
729,100729,,,,,42.390000,-70.950000,20 minute Drive Time,P,20,24509.28043243014,60291.339361291619,246.90153515681632,0,0,2.9999999999999991,43.977272727272727,186.90016604400131,13.024096385542167,0.0100737977941662,0,0,0.000122402614318716,0.00179431105080845,0.00762568964679596,0.0005313944822431,89332.8919534826,392.01841633188104,138.13467260574205,1553.392842676878,547.3656410305299,0.0633797816692106,0.0223329951501256
73,100073,,,,,42.570000,-71.250000,20 minute Drive Time,P,20,31388.48085384681,85182.359423324364,962.3638593150522,67.684328173597,12.67125900989957,57.295827620604712,261.04898978268074,556.647061285628,7.0163934426229577,0.030659778145877,0.00215634291091542,0.000403691375473071,0.0018253775290174,0.00831671309606205,0.0177341192100862,0.000223534024322272,109844.390984876,883.84957676746728,304.83504091902228,2800.4389634549966,965.85657611354065,0.0892186842840401,0.0307710519859444
730,100730,,,,,42.390000,-70.935000,20 minute Drive Time,P,20,24509.28043243014,60291.339361291619,246.90153515681632,0,0,2.9999999999999991,43.977272727272727,186.90016604400131,13.024096385542167,0.0100737977941662,0,0,0.000122402614318716,0.00179431105080845,0.00762568964679596,0.0005313944822431,89332.8919534826,392.01841633188104,138.13467260574205,1553.392842676878,547.3656410305299,0.0633797816692106,0.0223329951501256
731,100731,,,,,42.390000,-70.920000,20 minute Drive Time,P,20,11696.128198380253,26154.571749052102,62.319957025370122,12.042553191489377,0,0.10925690695458874,31.090393294648642,18.054666705158912,1.0230869271185559,0.00532825529682554,0.00102961877531037,0,9.34128842480705E-06,0.00265817822507744,0.00154364473430269,8.74722737102214E-05,46942.7525942488,101.82095673916531,39.431329623738179,425.75097601642727,164.87693310462203,0.036401018251098496,0.0140967104932601
732,100732,,,,,42.390000,-70.905000,20 minute Drive Time,P,20,11696.128198380253,26154.571749052102,62.319957025370122,12.042553191489377,0,0.10925690695458874,31.090393294648642,18.054666705158912,1.0230869271185559,0.00532825529682554,0.00102961877531037,0,9.34128842480705E-06,0.00265817822507744,0.00154364473430269,8.74722737102214E-05,46942.7525942488,101.82095673916531,39.431329623738179,425.75097601642727,164.87693310462203,0.036401018251098496,0.0140967104932601
733,100733,,,,,42.390000,-70.890000,20 minute Drive Time,P,20,11696.128198380253,26154.571749052102,62.319957025370122,12.042553191489377,0,0.10925690695458874,31.090393294648642,18.054666705158912,1.0230869271185559,0.00532825529682554,0.00102961877531037,0,9.34128842480705E-06,0.00265817822507744,0.00154364473430269,8.74722737102214E-05,46942.7525942488,101.82095673916531,39.431329623738179,425.75097601642727,164.87693310462203,0.036401018251098496,0.0140967104932601
734,100734,,,,,42.390000,-70.875000,20 minute Drive Time,P,20,12004.519520723426,26904.085545973739,64.451232466347037,12.042553191489377,0,0.29955541441727529,31.226756931012275,19.859280002309511,1.0230869271185559,0.00536891396236932,0.00100316827930516,0,2.49535530264374E-05,0.00260125004396098,0.00165431694021792,8.52251458588075E-05,46854.1564147485,103.73075458507749,40.22583707791776,430.81198029382654,167.06494230986388,0.0358874821728695,0.0139168370730256
735,100735,,,,,42.390000,-70.860000,20 minute Drive Time,P,20,12004.519520723426,26904.085545973739,64.451232466347037,12.042553191489377,0,0.29955541441727529,31.226756931012275,19.859280002309511,1.0230869271185559,0.00536891396236932,0.00100316827930516,0,2.49535530264374E-05,0.00260125004396098,0.00165431694021792,8.52251458588075E-05,46854.1564147485,103.73075458507749,40.22583707791776,430.81198029382654,167.06494230986388,0.0358874821728695,0.0139168370730256
736,100736,,,,,42.390000,-70.845000,20 minute Drive Time,P,20,12004.519520723426,26904.085545973739,64.451232466347037,12.042553191489377,0,0.29955541441727529,31.226756931012275,19.859280002309511,1.0230869271185559,0.00536891396236932,0.00100316827930516,0,2.49535530264374E-05,0.00260125004396098,0.00165431694021792,8.52251458588075E-05,46854.1564147485,103.73075458507749,40.22583707791776,430.81198029382654,167.06494230986388,0.0358874821728695,0.0139168370730256
