ID,Name,Address,City,State,Zip,Latitude,Longitude,ShapeName,ShapeType,ShapeDistance,Households,Total_Population,Mosaic_A,Mosaic_A01,Mosaic_A02,Mosaic_A03,Mosaic_A04,Mosaic_A05,Mosaic_A06,Mosaic_A_Pct,Mosaic_A01_Pct,Mosaic_A02_Pct,Mosaic_A03_Pct,Mosaic_A04_Pct,Mosaic_A05_Pct,Mosaic_A06_Pct,Median_HH_Income,Kids_250k,Kids_500k,HH_GT_250k,HH_GT_500k,HH_GT_250k_Pct,HH_GT_500k_Pct
1,100001,,,,,30.735000,-98.415000,20 minute Drive Time,P,20,5125.3219362532909,11665.712397880372,153.48113509488991,0.66363636363636347,80.035206159970613,0.019736842105263157,53.242810410317993,19.519745318859915,0,0.029945657463829,0.000129481888531181,0.0156156446668944,3.85084924434838E-06,0.0103881885026016,0.00380849155655756,0,52949.7628286501,39.382643066297547,9.4049439617362474,180.1611034140731,43.024158608185125,0.0351511779464481,0.0083944304656961
10,100010,,,,,30.735000,-98.280000,20 minute Drive Time,P,20,6290.6464815658383,15628.787705597755,254.67245999225767,1.865909090909093,106.87732943484363,0,101.75994083852272,44.169280627982154,0,0.040484306460163,0.000296616428276008,0.0169898800938883,0,0.0161763884104314,0.00702142152756735,0,59808.6311831458,51.255835099307795,15.144173227368421,191.38461855093416,56.546963107197847,0.030423680477319651,0.00898905434805525
100,100100,,,,,30.720000,-97.920000,20 minute Drive Time,P,20,8208.8320034432945,23056.273440541227,1692.3714905916775,90.864037972137481,286.49369383861415,303.58978827168283,137.55333943225921,873.87063107698475,0,0.206164712578086,0.0110690580504052,0.0349006647618615,0.0369833111634321,0.0167567492396678,0.106454929362719,0,102274.378856183,245.318167865508,69.765223469630314,662.32244972954288,188.35569381745432,0.080684127711679793,0.022945492579023
1000,101000,,,,,30.510000,-98.280000,20 minute Drive Time,P,20,7779.2284316198957,17691.42549312174,767.2467666960124,191.88161983223429,295.47165342244506,32.606498313312947,137.11674245952571,110.17025266850172,0,0.0986276175638984,0.0246658934775975,0.0379821284359583,0.00419148230443764,0.0176260079858554,0.0141621053600505,0,78127.7305106913,125.88743813972599,55.447735988261634,573.46440798943615,252.58519485931785,0.073717388945476914,0.0324691834260382
1001,101001,,,,,30.510000,-98.265000,20 minute Drive Time,P,20,8924.1038938734328,20347.832062369631,985.48972484136243,322.66766558277374,320.3439830857605,49.914792413389037,155.42439551283144,137.13888824661413,0,0.11043010441843,0.0361568701373245,0.0358964874115465,0.00559325541331455,0.0174162467583477,0.0153672446978976,0,80209.1233180299,151.70890667828047,66.584844383596746,689.32619040357554,302.54438004021796,0.0772431830244391,0.0339019338678834
1002,101002,,,,,30.510000,-98.250000,20 minute Drive Time,P,20,6076.9303133791336,13967.693704488644,458.40611794430811,66.561189012462677,194.73902955200057,16.142260971969193,103.80570571274004,77.1579326951381,0,0.0754338283154356,0.0109530940096383,0.0320456249306098,0.00265631826259879,0.0170819312316613,0.0126968598809279,0,71911.5417766191,87.002078380849341,37.164795434085519,361.43219390251613,154.39347886471296,0.059476112982039205,0.0254064915842125
1003,101003,,,,,30.510000,-98.235000,20 minute Drive Time,P,20,5636.8578738511214,13116.719322644727,495.33347359431127,95.558962775162755,193.27278629123495,23.756789157621366,95.289572342186688,87.455363028104742,0,0.0878740398781596,0.0169525230037203,0.0342873264887181,0.00421454464336009,0.0169047321175555,0.0155149136248055,0,72996.6031263815,84.013104931430718,35.865273079692273,343.40165037585678,146.59848575765966,0.060920757283746,0.0260071282686968
1004,101004,,,,,30.510000,-98.220000,20 minute Drive Time,P,20,5035.2341444503627,11781.562443076904,983.83793425995918,454.83664099415557,202.37278422251151,80.82296367845754,83.676907770422332,162.12863759441086,0,0.195390702008229,0.0903307826301303,0.0401913353812074,0.0160514806977819,0.0166182754108163,0.0321988278882925,0,97158.1434138434,107.69531810200829,46.930626860832035,509.12650252783152,221.86318157732956,0.1011127760739728,0.0440621379686699
1005,101005,,,,,30.510000,-98.205000,20 minute Drive Time,P,20,4459.19461337091,10609.079412613477,753.27700986730088,333.88429550979413,165.73845284268646,59.469993453329245,68.6227450229362,125.56152303855333,0,0.168926695329376,0.0748754706754984,0.0371677998411909,0.0133364875520365,0.0153890446533037,0.0281578926073459,0,87433.4603996624,90.031410404307778,38.503506049916069,376.92461798871125,161.19840002413491,0.0845275101603553,0.0361496669243322
1006,101006,,,,,30.510000,-98.190000,20 minute Drive Time,P,20,3876.4720948396125,9162.43500123377,783.26328534322147,355.66591556265314,163.19074040442217,64.423934090537,68.360208764555082,131.62248652105293,0,0.202055700693914,0.0917498970355335,0.0420977467170892,0.0166192178130983,0.0176346448760863,0.0339541942521061,0,97442.6748687134,83.440351489106732,35.909069458662117,377.8319588334345,162.60231184696579,0.097467993987731011,0.04194595185231
